sentence,gpt4_zeroshot_r1,gpt4_zeroshot_r2,gpt4_zeroshot_r3,answer
"kyc operational risk consultant, wells fargo",Compliance Officers (13-1041.00); Financial Risk Specialists (13-2054.00),Compliance Officers (13-1041.00); Financial Risk Specialists (13-2054.00),Compliance Officers (13-1041.00); Financial Risk Specialists (13-2054.00),Compliance Officers (13-1041.00);Financial Risk Specialists (13-2054.00)
"l3 harris robot engineering team design, purdue university",Robotics Engineers (17-2199.08); Mechatronics Engineers (17-2199.05),Robotics Engineers (17-2199.08); Mechatronics Engineers (17-2199.05),Mechatronics Engineers (17-2199.05); Robotics Engineers (17-2199.08),Robotics Engineers (17-2199.08);Mechatronics Engineers (17-2199.05)
"lab aide, research laboratory aide, arizona state university","Life, Physical, and Social Science Technicians, All Other (19-4099.00)","Biological Technicians (19-4021.00); Life, Physical, and Social Science Technicians, All Other (19-4099.00)","Life, Physical, and Social Science Technicians, All Other (19-4099.00)","Life, Physical, and Social Science Technicians, All Other (19-4099.00)"
"lab analyst, duke university medical center",Medical and Clinical Laboratory Technologists (29-2011.00); Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technologists (29-2011.00); Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technologists (29-2011.00); Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technologists (29-2011.00);Medical and Clinical Laboratory Technicians (29-2012.00)
"lab assistant, geneseek - neogen","Life, Physical, and Social Science Technicians, All Other (19-4099.00); Medical and Clinical Laboratory Technicians (29-2012.00); Biological Technicians (19-4021.00)","Biological Technicians (19-4021.00); Life, Physical, and Social Science Technicians, All Other (19-4099.00)","Biological Technicians (19-4021.00); Life, Physical, and Social Science Technicians, All Other (19-4099.00)","Life, Physical, and Social Science Technicians, All Other (19-4099.00);Biological Technicians (19-4021.00)"
"lab attendant, microbial research lab",Biological Technicians (19-4021.00),Biological Technicians (19-4021.00),Biological Technicians (19-4021.00),Biological Technicians (19-4021.00)
"lab courier, university of mississippi medical center",Couriers and Messengers (43-5021.00),Couriers and Messengers (43-5021.00),Couriers and Messengers (43-5021.00),Couriers and Messengers (43-5021.00)
"lab instructor, cs, mt. holyoke college","Computer Science Teachers, Postsecondary (25-1021.00)","Computer Science Teachers, Postsecondary (25-1021.00)","Computer Science Teachers, Postsecondary (25-1021.00)","Computer Science Teachers, Postsecondary (25-1021.00)"
"lab operations, northern arizona university","Natural Sciences Managers (11-9121.00); Life, Physical, and Social Science Technicians, All Other (19-4099.00)",Natural Sciences Managers (11-9121.00),None (00-0000.00),Natural Sciences Managers (11-9121.00)
"lab safety specialist, appalachian state university",Occupational Health and Safety Specialists (19-5011.00),Occupational Health and Safety Specialists (19-5011.00),Occupational Health and Safety Specialists (19-5011.00),Occupational Health and Safety Specialists (19-5011.00)
"lab tech (logan, ut), utah state university","Biological Technicians (19-4021.00); Life, Physical, and Social Science Technicians, All Other (19-4099.00)",Medical and Clinical Laboratory Technicians (29-2012.00),"Biological Technicians (19-4021.00); Medical and Clinical Laboratory Technicians (29-2012.00); Life, Physical, and Social Science Technicians, All Other (19-4099.00)","Biological Technicians (19-4021.00);Life, Physical, and Social Science Technicians, All Other (19-4099.00);Medical and Clinical Laboratory Technicians (29-2012.00)"
"lab technician, dr. balabhai nanavati hospital",Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00)
"lab technician, mcneil specialty products",Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00)
"lab technician, veterinary assistant, university of louisville",Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00); Veterinary Technologists and Technicians (29-2056.00),Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00); Veterinary Technologists and Technicians (29-2056.00),Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00),Veterinary Assistants and Laboratory Animal Caretakers (31-9096.00);Veterinary Technologists and Technicians (29-2056.00)
"labor relations analyst, nyc department of parks & recreation",Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00)
"labor relations rep, labor, pratt & whitney",Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00)
"labor relations representative, general motors",Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00)
"labor relations representative, john deere",Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00)
"labor relations specialist (retired), labor relations, csea, csea inc",Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00)
"labor relations specialist, usps - atlanta district",Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00),Labor Relations Specialists (13-1075.00)
"laboratory and instrument technician, philadelphia water department","Environmental Science and Protection Technicians, Including Health (19-4042.00); Water and Wastewater Treatment Plant and System Operators (51-8031.00)","Water and Wastewater Treatment Plant and System Operators (51-8031.00); Environmental Science and Protection Technicians, Including Health (19-4042.00)","Chemical Technicians (19-4031.00); Environmental Science and Protection Technicians, Including Health (19-4042.00)","Environmental Science and Protection Technicians, Including Health (19-4042.00);Water and Wastewater Treatment Plant and System Operators (51-8031.00)"
"laboratory assistant, american instants inc",Medical and Clinical Laboratory Technicians (29-2012.00); Chemical Technicians (19-4031.00),"Life, Physical, and Social Science Technicians, All Other (19-4099.00); Biological Technicians (19-4021.00)","Life, Physical, and Social Science Technicians, All Other (19-4099.00); Chemical Technicians (19-4031.00); Biological Technicians (19-4021.00)","Chemical Technicians (19-4031.00);Life, Physical, and Social Science Technicians, All Other (19-4099.00);Biological Technicians (19-4021.00)"
"laboratory assistant, cytec industries",Chemical Technicians (19-4031.00),Chemical Technicians (19-4031.00),Chemical Technicians (19-4031.00),Chemical Technicians (19-4031.00)
"laboratory assistant, environmental research laboratory","Environmental Science and Protection Technicians, Including Health (19-4042.00); Biological Technicians (19-4021.00)","Environmental Science and Protection Technicians, Including Health (19-4042.00); Biological Technicians (19-4021.00)","Environmental Science and Protection Technicians, Including Health (19-4042.00); Biological Technicians (19-4021.00)","Environmental Science and Protection Technicians, Including Health (19-4042.00);Biological Technicians (19-4021.00)"
"laboratory assistant, insight medical genetics",Medical and Clinical Laboratory Technicians (29-2012.00); Medical and Clinical Laboratory Technologists (29-2011.00),Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00)
"laboratory assistant, mechatronics laboratory",Electro-Mechanical and Mechatronics Technologists and Technicians (17-3024.00),Electro-Mechanical and Mechatronics Technologists and Technicians (17-3024.00),Electro-Mechanical and Mechatronics Technologists and Technicians (17-3024.00),Electro-Mechanical and Mechatronics Technologists and Technicians (17-3024.00)
"laboratory assistant, st. mary's hospitals and clinics",Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00); Medical and Clinical Laboratory Technologists (29-2011.00),Medical and Clinical Laboratory Technicians (29-2012.00)
"laboratory assistant, wellspan health",Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00)
"laboratory instructor, university of pittsburgh","Postsecondary Teachers, All Other (25-1199.00)","Teaching Assistants, Postsecondary (25-9044.00)","Postsecondary Teachers, All Other (25-1199.00); Teaching Assistants, Postsecondary (25-9044.00)","Postsecondary Teachers, All Other (25-1199.00);Teaching Assistants, Postsecondary (25-9044.00)"
"laboratory operations assistant, washington state university",None (00-0000.00),"Life, Physical, and Social Science Technicians, All Other (19-4099.00); Biological Technicians (19-4021.00)","Biological Technicians (19-4021.00); Life, Physical, and Social Science Technicians, All Other (19-4099.00)","Life, Physical, and Social Science Technicians, All Other (19-4099.00);Biological Technicians (19-4021.00)"
"laboratory support, novo nordisk",Medical and Clinical Laboratory Technologists (29-2011.00); Medical and Clinical Laboratory Technicians (29-2012.00),Biological Technicians (19-4021.00); Medical and Clinical Laboratory Technicians (29-2012.00); Medical and Clinical Laboratory Technologists (29-2011.00),Medical and Clinical Laboratory Technologists (29-2011.00); Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technologists (29-2011.00);Medical and Clinical Laboratory Technicians (29-2012.00)
"laboratory technician 4, siemens healthineers",Medical and Clinical Laboratory Technicians (29-2012.00); Medical and Clinical Laboratory Technologists (29-2011.00),Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00)
"laboratory technician, alaska sealife center",Biological Technicians (19-4021.00),Biological Technicians (19-4021.00),Biological Technicians (19-4021.00),Biological Technicians (19-4021.00)
"laboratory technician, berry global, inc.",Chemical Technicians (19-4031.00),Chemical Technicians (19-4031.00); Biological Technicians (19-4021.00),Chemical Technicians (19-4031.00); Biological Technicians (19-4021.00),Chemical Technicians (19-4031.00);Biological Technicians (19-4021.00)
"laboratory technician, bethlehem steel inc.",Chemical Technicians (19-4031.00),Chemical Technicians (19-4031.00),Chemical Technicians (19-4031.00),Chemical Technicians (19-4031.00)
"laboratory technician, broad institute of mit and harvard",Medical and Clinical Laboratory Technicians (29-2012.00); Biological Technicians (19-4021.00),Medical and Clinical Laboratory Technicians (29-2012.00); Biological Technicians (19-4021.00),Medical and Clinical Laboratory Technicians (29-2012.00); Biological Technicians (19-4021.00),Medical and Clinical Laboratory Technicians (29-2012.00);Biological Technicians (19-4021.00)
"laboratory technician, neogen corporation",Medical and Clinical Laboratory Technicians (29-2012.00),Food Science Technicians (19-4013.00); Chemical Technicians (19-4031.00); Biological Technicians (19-4021.00),Biological Technicians (19-4021.00); Medical and Clinical Laboratory Technicians (29-2012.00),Medical and Clinical Laboratory Technicians (29-2012.00);Biological Technicians (19-4021.00)
